Name,Country,Industry,mvUsd
ASKA Pharmaceutical Holdings Co Ltd,Japan,Health Care,1916822
ASKUL Corp,Japan,Industrials,16957239
ASM International NV,Netherlands,Technology,817241759
ASML Holding NV,Netherlands,Technology,5287303192
ASMPT Ltd,Hong Kong,Technology,40961657
ASMedia Technology Inc,Taiwan,Technology,11444421
ASOS PLC,United Kingdom,Consumer Discretionary,6
ASPEED Technology Inc,Taiwan,Technology,38458054
ASR Nederland NV,Netherlands,Financials,288914401
ASROCK Inc,Taiwan,Technology,2457874
ASX Ltd,Australia,Financials,163920264
AT&S Austria Technologie & Systemtechnik AG,Austria,Technology,22025274
AT&T Inc,United States,Telecommunications,1198168530
ATA IMS Bhd,Malaysia,Industrials,5154
ATI Inc,United States,Industrials,50335659
ATRenew Inc,China,Consumer Discretionary,560747
ATS Corp,Canada,Industrials,27525329
AU Small Finance Bank Ltd,India,Financials,72615434
AUB Group Ltd,Australia,Financials,23335326
AUO Corp,Taiwan,Technology,17395608
AURAS Technology Co Ltd,Taiwan,Technology,3327358
AV Tech Corp/Taiwan,Taiwan,Industrials,619027
AVEVA Group PLC,United Kingdom,Technology,38076628
AVI Ltd,South Africa,Consumer Staples,6496911
AVZ Minerals Ltd,Australia,Basic Materials,4580633
AXA SA,France,Financials,2320600525
AZ-COM MARUWA Holdings Inc,Japan,Industrials,5068362
AZEK Co Inc/The,United States,Industrials,8358551
AZZ Inc,United States,Industrials,13920657
Aalberts NV,Netherlands,Industrials,141882736
Aareal Bank AG,Germany,Financials,47635380
Aarti Industries Ltd,India,Basic Materials,11841434
Aarti Pharmalabs Ltd,India,Basic Materials,2020636
Aavas Financiers Ltd,India,Financials,4608489
AbCellera Biologics Inc,Canada,Health Care,6551061
AbClon Inc,South Korea,Health Care,1116166
Abacus Property Group,Australia,Real Estate,11149868
AbbVie Inc,United States,Health Care,2965194746
Abbott Laboratories,United States,Health Care,1848753700
Abercrombie & Fitch Co,United States,Consumer Discretionary,10246154
Ability Enterprise Co Ltd,Taiwan,Consumer Discretionary,2140738
Abitare In SpA,Italy,Consumer Discretionary,5989368
Able C&C Co Ltd,South Korea,Consumer Discretionary,689471
Abou Kir Fertilizers & Chemical Industries,Egypt,Basic Materials,2749776
About You Holding SE,Germany,Consumer Discretionary,8892033
Absa Group Ltd,South Africa,Financials,262369947
Absolute Clean Energy PCL,Thailand,Utilities,8807293
Abu Dhabi Commercial Bank PJSC,United Arab Emirates,Financials,163233198
Abu Dhabi Islamic Bank PJSC,United Arab Emirates,Financials,69439904
Abu Dhabi National Oil Co for Distribution PJSC,United Arab Emirates,Energy,22588800
Abu Dhabi Ports Co PJSC,United Arab Emirates,Industrials,83232199
Academy Sports & Outdoors Inc,United States,Consumer Discretionary,34556504
Acadia Realty Trust,United States,Real Estate,12811852
Accelleron Industries AG,Switzerland,Industrials,53578168
Accent Group Ltd,Australia,Consumer Discretionary,4056062
Accenture PLC,United States,Industrials,1810368508
Acciona SA,Spain,Industrials,89629701
Accolade Inc,United States,Health Care,1211142
Accor SA,France,Consumer Discretionary,102887245
Accton Technology Corp,Taiwan,Telecommunications,77768068
Ace Hardware Indonesia Tbk PT,Indonesia,Consumer Discretionary,7673846
Ace Technologies Corp,South Korea,Telecommunications,1205358
Acer Inc,Taiwan,Technology,32697820
Acerinox SA,Spain,Basic Materials,49613104
