Name,Yahoo_Ticker,Verified_As,Note
Tata Capital Ltd,TATACAP.NS,TATA CAPITAL LIMITED,IPO'd after the source data was built; was N/A-PRIVATE
Tenneco Clean Air India Ltd,TENNIND.NS,TENNECO CLEAN AIR INDIA L,IPO'd after the source data was built; was N/A-PRIVATE
Orkla India Ltd,ORKLAINDIA.NS,ORKLA INDIA LIMITED,IPO'd after the source data was built; was N/A-PRIVATE
Kwality Wall's India Ltd,KWIL.NS,Kwality Walls (India) Limited,Demerged from HUL; was N/A-PRIVATE
Sanofi Consumer Healthcare India Ltd,SANOFICONR.BO,Sanofi Consumer Healthcare India Limited,BSE-only listing; previously mis-assigned the parent's SANOFI.NS
Tata Motors Ltd /new,TMCV.NS,TATA MOTORS LIMITED,Commercial-vehicles entity after the 2025 demerger; old TATAMOTORS.NS now 404s
